Item,Number,Monthly cost
Databases,2,4164.98
Network Load Balancer,1,235.43
Application Load Balancer,1,308.43
Application Servers,4,771.2
Web Servers,4,762.44
Elastic IP,1,1821.35
S3 bucket,1,1177.6
NAT Gateway,1,493.65
Total cost,,8972.64
